County,Start date,End date,"w, alpha","beta, gamma, ups"
Fresno_California_UnitedStates,2020-05-01,2020-05-15,"(0.05, 0.05)",[0.04877825 0.01283961 0.00477774]
Fresno_California_UnitedStates,2020-05-15,2020-05-29,"(0.05, 0.05)",[0.03720821 0.01187226 0.01711677]
Fresno_California_UnitedStates,2020-05-29,2020-06-12,"(0.6000000000000001, 0.05)",[0.03861923 0.00767644 0.01684882]
Fresno_California_UnitedStates,2020-06-12,2020-06-26,"(0.6000000000000001, 0.05)",[0.05596667 0.00984593 0.00932461]
Fresno_California_UnitedStates,2020-06-26,2020-07-10,"(0.6000000000000001, 0.05)",[0.05988491 0.00677399 0.00534841]
Fresno_California_UnitedStates,2020-07-10,2020-07-24,"(0.6000000000000001, 0.05)",[0.04465903 0.00853738 0.00277573]
Fresno_California_UnitedStates,2020-07-24,2020-08-07,"(0.6000000000000001, 0.05)",[0.03637195 0.0131926  0.00767576]
Kern_California_UnitedStates,2020-05-01,2020-05-15,"(0.05, 0.05)",[0.04997577 0.02147001 0.01108116]
Kern_California_UnitedStates,2020-05-15,2020-05-29,"(0.6000000000000001, 0.05)",[0.04202128 0.01600476 0.0207492 ]
Kern_California_UnitedStates,2020-05-29,2020-06-12,"(0.05, 0.05)",[0.05064344 0.01989851 0.01118784]
Kern_California_UnitedStates,2020-06-12,2020-06-26,"(0.05, 0.05)",[0.04620796 0.02119543 0.00538799]
Kern_California_UnitedStates,2020-06-26,2020-07-10,"(0.6000000000000001, 0.05)",[0.04065678 0.01267669 0.00701245]
Kern_California_UnitedStates,2020-07-10,2020-07-24,"(0.6000000000000001, 0.05)",[0.08723398 0.00880284 0.00638137]
Kern_California_UnitedStates,2020-07-24,2020-08-07,"(0.05, 0.05)",[0.07143018 0.00491262 0.0025273 ]
Orange_California_UnitedStates,2020-05-01,2020-05-15,"(0.05, 0.05)",[3.07836941e-02 1.13253121e-06 1.21778728e-02]
Orange_California_UnitedStates,2020-05-15,2020-05-29,"(0.05, 0.05)",[0.11462646 0.08696446 0.01445361]
Orange_California_UnitedStates,2020-05-29,2020-06-12,"(0.05, 0.05)",[0.03390807 0.01314412 0.01622207]
Orange_California_UnitedStates,2020-06-12,2020-06-26,"(0.05, 0.05)",[0.03877141 0.0110561  0.01826992]
Orange_California_UnitedStates,2020-06-26,2020-07-10,"(0.6000000000000001, 0.05)",[0.06508451 0.01306789 0.0048885 ]
Orange_California_UnitedStates,2020-07-10,2020-07-24,"(0.1, 0.05)",[0.05254999 0.02260507 0.00643485]
Orange_California_UnitedStates,2020-07-24,2020-08-07,"(0.05, 0.05)",[0.04466467 0.02156529 0.00469458]
Riverside_California_UnitedStates,2020-05-01,2020-05-15,"(0.05, 0.05)",[0.0440689  0.0245419  0.02162991]
Riverside_California_UnitedStates,2020-05-15,2020-05-29,"(0.6000000000000001, 0.05)",[0.0283727  0.00761947 0.01253839]
Riverside_California_UnitedStates,2020-05-29,2020-06-12,"(0.6000000000000001, 0.05)",[0.03970085 0.01060349 0.01038934]
Riverside_California_UnitedStates,2020-06-12,2020-06-26,"(0.6000000000000001, 0.05)",[0.04354772 0.00905378 0.00680105]
Riverside_California_UnitedStates,2020-06-26,2020-07-10,"(0.6000000000000001, 0.05)",[0.03925831 0.00806685 0.0084059 ]
Riverside_California_UnitedStates,2020-07-10,2020-07-24,"(0.6000000000000001, 0.05)",[0.03243976 0.00633646 0.00579828]
Riverside_California_UnitedStates,2020-07-24,2020-08-07,"(0.6000000000000001, 0.05)",[0.04291908 0.0304859  0.00532102]
SanJoaquin_California_UnitedStates,2020-05-01,2020-05-15,"(0.6000000000000001, 0.05)",[0.02583673 0.01214734 0.02016849]
SanJoaquin_California_UnitedStates,2020-05-15,2020-05-29,"(0.05, 0.05)",[0.02692387 0.01679973 0.00155898]
SanJoaquin_California_UnitedStates,2020-05-29,2020-06-12,"(0.6000000000000001, 0.05)",[0.05567295 0.01667284 0.0129173 ]
SanJoaquin_California_UnitedStates,2020-06-12,2020-06-26,"(0.6000000000000001, 0.05)",[0.07496795 0.02255567 0.0037273 ]
SanJoaquin_California_UnitedStates,2020-06-26,2020-07-10,"(0.6000000000000001, 0.05)",[0.08670739 0.01841826 0.00594493]
SanJoaquin_California_UnitedStates,2020-07-10,2020-07-24,"(0.6000000000000001, 0.05)",[0.0580012  0.00895227 0.00737795]
SanJoaquin_California_UnitedStates,2020-07-24,2020-08-07,"(0.1, 0.05)",[0.06694237 0.0419839  0.01023783]
Ventura_California_UnitedStates,2020-05-01,2020-05-15,"(0.6000000000000001, 0.05)",[0.03953148 0.01161152 0.03367963]
Ventura_California_UnitedStates,2020-05-15,2020-05-29,"(0.6000000000000001, 0.05)",[0.05646336 0.02064728 0.01588863]
Ventura_California_UnitedStates,2020-05-29,2020-06-12,"(0.6000000000000001, 0.05)",[0.04632059 0.01863383 0.01183315]
Ventura_California_UnitedStates,2020-06-12,2020-06-26,"(0.6000000000000001, 0.05)",[0.05404556 0.02014249 0.0023764 ]
Ventura_California_UnitedStates,2020-06-26,2020-07-10,"(0.6000000000000001, 0.05)",[0.05386536 0.01748243 0.00319439]
Ventura_California_UnitedStates,2020-07-10,2020-07-24,"(0.6000000000000001, 0.05)",[0.05558457 0.01544395 0.00503551]
Ventura_California_UnitedStates,2020-07-24,2020-08-07,"(0.6000000000000001, 0.05)",[0.02500594 0.00590841 0.00163208]
Harris_Texas_UnitedStates,2020-05-01,2020-05-15,"(0.6000000000000001, 0.05)",[0.0361359  0.01098275 0.01320192]
Harris_Texas_UnitedStates,2020-05-15,2020-05-29,"(0.6000000000000001, 0.05)",[0.02747837 0.0077426  0.00305659]
Harris_Texas_UnitedStates,2020-05-29,2020-06-12,"(0.6000000000000001, 0.05)",[0.02975654 0.00825851 0.00425279]
